"id";"application_apartment";"customer";"apartment_uuid";"queue_position";"state"
214;214;11;745;;"CANCELED"
215;215;71;746;;"SUBMITTED"
216;216;17;745;;"CANCELED"
217;217;46;746;;"CANCELED"
218;218;27;746;;"SUBMITTED"
219;219;29;746;;"SUBMITTED"
220;220;47;746;1,00;"SOLD"
221;221;33;745;;"SUBMITTED"
222;222;64;745;1,00;"SOLD"
225;225;155;754;1,00;"SOLD"
226;226;170;745;;"SUBMITTED"
227;227;186;762;1,00;"RESERVATION_AGREEMENT"
228;228;127;767;;"CANCELED"
229;229;199;757;;"SUBMITTED"
230;230;201;756;;"SUBMITTED"
231;231;162;752;;"CANCELED"
232;232;203;754;;"SUBMITTED"
233;233;15;759;;"SUBMITTED"
234;234;131;759;;"SUBMITTED"
235;235;152;756;1,00;"SOLD"
236;236;167;761;;"SUBMITTED"
237;237;174;758;;"SUBMITTED"
238;238;184;756;;"SUBMITTED"
239;239;189;764;1,00;"RESERVATION_AGREEMENT"
240;240;157;762;;"CANCELED"
241;241;129;752;;"SUBMITTED"
242;242;62;760;1,00;"RESERVATION_AGREEMENT"
243;243;187;757;1,00;"RESERVATION_AGREEMENT"
244;244;124;767;;"CANCELED"
245;245;177;756;;"SUBMITTED"
246;246;123;754;;"SUBMITTED"
247;247;195;759;;"SUBMITTED"
248;248;169;762;;"CANCELED"
249;249;138;768;;"SUBMITTED"
250;250;197;761;;"SUBMITTED"
251;251;156;759;1,00;"RESERVATION_AGREEMENT"
252;252;137;762;;"SUBMITTED"
253;253;154;745;;"SUBMITTED"
254;254;180;763;;"CANCELED"
255;255;121;753;;"SUBMITTED"
256;256;147;759;;"SUBMITTED"
257;257;159;766;1,00;"RESERVATION_AGREEMENT"
258;258;106;765;;"SUBMITTED"
259;259;139;746;;"SUBMITTED"
260;260;183;755;;"CANCELED"
261;261;69;764;;"SUBMITTED"
262;262;204;763;;"CANCELED"
263;263;153;768;;"SUBMITTED"
264;264;105;757;;"SUBMITTED"
265;265;200;758;;"CANCELED"
266;266;134;766;;"SUBMITTED"
267;267;72;767;1,00;"SOLD"
268;268;115;755;1,00;"SOLD"
269;269;128;747;;"SUBMITTED"
270;270;194;748;1,00;"RESERVATION_AGREEMENT"
271;271;60;765;1,00;"RESERVATION_AGREEMENT"
272;272;119;765;;"SUBMITTED"
273;273;120;768;1,00;"RESERVATION_AGREEMENT"
274;274;133;753;;"CANCELED"
275;275;161;753;;"SUBMITTED"
276;276;164;753;;"CANCELED"
277;277;198;746;;"SUBMITTED"
278;278;135;763;;"CANCELED"
279;279;166;751;;"CANCELED"
280;280;172;751;;"CANCELED"
281;281;108;764;;"CANCELED"
282;282;89;767;;"SUBMITTED"
283;283;107;766;;"SUBMITTED"
